Date,Time,Symbol,Session,Setup Tag,RR,Outcome,PnL ($),Psychology,Screenshot,Notes
2024-04-30,16:18,SPX500,Asian,Reversal,3.24,Loss,-100.0,Focused,,Auto note 121
2024-05-01,23:46,EURUSD,London,Reversal,2.12,Loss,-100.0,Focused,,Auto note 122
2024-05-02,12:55,EURUSD,Post-News,OB Entry,3.72,Win,372.0,Focused,,Auto note 123
2024-05-03,03:55,BTCUSD,London,Reversal,2.97,BE,0.0,Focused,,Auto note 124
2024-05-04,18:31,BTCUSD,Post-News,Breakout,2.11,Loss,-100.0,Confident,,Auto note 125
2024-05-05,07:33,XAUUSD,New York,Reversal,1.82,BE,0.0,Focused,,Auto note 126
2024-05-06,21:19,BTCUSD,Asian,Reversal,1.57,BE,0.0,Confident,,Auto note 127
2024-05-07,19:47,SPX500,Post-News,Liquidity Grab,2.33,Loss,-100.0,Focused,,Auto note 128
2024-05-08,06:05,EURUSD,London,Breakout,3.81,BE,0.0,Confident,,Auto note 129
2024-05-09,02:52,SPX500,Asian,Liquidity Grab,1.67,Loss,-100.0,Emotional,,Auto note 130
2024-05-10,04:32,EURUSD,Post-News,OB Entry,2.0,Win,200.0,Hesitant,,Auto note 131
2024-05-11,02:53,BTCUSD,Post-News,FVG Entry,3.43,Loss,-100.0,Emotional,,Auto note 132
2024-05-12,19:19,GBPUSD,Asian,Breakout,1.89,BE,0.0,Focused,,Auto note 133
2024-05-13,02:25,NAS100,Asian,OB Entry,2.26,Loss,-100.0,Emotional,,Auto note 134
2024-05-14,20:17,EURUSD,London,Reversal,2.2,Win,220.0,Hesitant,,Auto note 135
2024-05-15,03:41,EURUSD,Asian,Reversal,4.61,Win,461.0,Emotional,,Auto note 136
2024-05-16,15:54,EURUSD,Non-Killzone,Reversal,1.4,BE,0.0,Emotional,,Auto note 137
2024-05-17,11:44,SPX500,Post-News,FVG Entry,0.97,Loss,-100.0,Confident,,Auto note 138
2024-05-18,17:02,USDJPY,Post-News,Reversal,2.12,BE,0.0,Emotional,,Auto note 139
2024-05-19,21:42,NAS100,Post-News,Liquidity Grab,3.43,Loss,-100.0,Emotional,,Auto note 140
2024-05-20,03:36,GBPUSD,Post-News,OB Entry,4.09,Win,409.0,Confident,,Auto note 141
2024-05-21,13:15,GBPUSD,London,FVG Entry,2.87,BE,0.0,Focused,,Auto note 142
2024-05-22,13:57,SPX500,Asian,Reversal,3.46,Win,346.0,Confident,,Auto note 143
2024-05-23,11:24,XAUUSD,New York,Liquidity Grab,4.44,Win,444.0,Emotional,,Auto note 144
2024-05-24,04:40,NAS100,Non-Killzone,Reversal,3.41,BE,0.0,Confident,,Auto note 145
2024-05-25,23:32,XAUUSD,New York,OB Entry,4.07,Loss,-100.0,Focused,,Auto note 146
2024-05-26,08:25,EURUSD,Non-Killzone,FVG Entry,1.63,Loss,-100.0,Confident,,Auto note 147
2024-05-27,17:13,XAUUSD,Asian,OB Entry,2.07,BE,0.0,Focused,,Auto note 148
2024-05-28,07:31,USDJPY,Post-News,OB Entry,2.67,Loss,-100.0,Focused,,Auto note 149
2024-05-29,18:06,SPX500,Asian,FVG Entry,0.55,BE,0.0,Confident,,Auto note 150
2024-05-30,23:22,XAUUSD,London,Reversal,1.37,Win,137.0,Emotional,,Auto note 151
2024-05-31,16:15,NAS100,New York,Reversal,0.83,Win,83.0,Hesitant,,Auto note 152
2024-06-01,10:44,NAS100,Post-News,Reversal,1.68,BE,0.0,Hesitant,,Auto note 153
2024-06-02,17:44,USDJPY,Asian,Liquidity Grab,2.78,BE,0.0,Emotional,,Auto note 154
2024-06-03,10:50,SPX500,London,FVG Entry,1.17,Loss,-100.0,Focused,,Auto note 155
2024-06-04,07:50,EURUSD,New York,Breakout,4.31,Loss,-100.0,Emotional,,Auto note 156
2024-06-05,19:59,EURUSD,London,Breakout,4.85,BE,0.0,Hesitant,,Auto note 157
2024-06-06,15:07,BTCUSD,Asian,Liquidity Grab,3.53,Loss,-100.0,Hesitant,,Auto note 158
2024-06-07,08:30,EURUSD,Non-Killzone,Reversal,1.29,Loss,-100.0,Confident,,Auto note 159
2024-06-08,06:51,SPX500,Non-Killzone,Breakout,4.61,Win,461.0,Hesitant,,Auto note 160
2024-06-09,08:18,XAUUSD,Non-Killzone,OB Entry,1.4,Win,140.0,Hesitant,,Auto note 161
2024-06-10,19:15,USDJPY,Post-News,Reversal,4.01,Loss,-100.0,Focused,,Auto note 162
2024-06-11,21:35,XAUUSD,Post-News,FVG Entry,4.55,Loss,-100.0,Focused,,Auto note 163
2024-06-12,16:28,NAS100,Post-News,OB Entry,0.98,Loss,-100.0,Hesitant,,Auto note 164
2024-06-13,18:49,NAS100,Post-News,Liquidity Grab,2.15,BE,0.0,Focused,,Auto note 165
2024-06-14,05:04,NAS100,Asian,Reversal,4.02,Loss,-100.0,Hesitant,,Auto note 166
2024-06-15,15:05,BTCUSD,Post-News,Breakout,4.9,Win,490.0,Confident,,Auto note 167
2024-06-16,18:05,USDJPY,New York,Breakout,2.13,Loss,-100.0,Confident,,Auto note 168
2024-06-17,11:25,EURUSD,London,OB Entry,2.68,Win,268.0,Focused,,Auto note 169
2024-06-18,07:49,NAS100,New York,Liquidity Grab,1.94,Win,194.0,Focused,,Auto note 170
2024-06-19,12:40,SPX500,New York,Reversal,0.72,Win,72.0,Emotional,,Auto note 171
2024-06-20,00:30,GBPUSD,Asian,OB Entry,4.68,Win,468.0,Focused,,Auto note 172
2024-06-21,11:05,XAUUSD,Post-News,Liquidity Grab,3.9,Loss,-100.0,Focused,,Auto note 173
2024-06-22,13:39,GBPUSD,Non-Killzone,Liquidity Grab,1.13,Loss,-100.0,Confident,,Auto note 174
2024-06-23,02:05,USDJPY,New York,OB Entry,4.53,Win,453.0,Confident,,Auto note 175
2024-06-24,06:27,GBPUSD,Non-Killzone,Reversal,2.67,Win,267.0,Emotional,,Auto note 176
2024-06-25,17:31,BTCUSD,New York,Reversal,2.85,Loss,-100.0,Emotional,,Auto note 177
2024-06-26,08:23,NAS100,New York,Reversal,3.81,BE,0.0,Confident,,Auto note 178
2024-06-27,04:30,NAS100,New York,OB Entry,0.72,Loss,-100.0,Hesitant,,Auto note 179
2024-06-28,08:15,BTCUSD,Post-News,OB Entry,4.3,BE,0.0,Focused,,Auto note 180
2024-06-29,13:02,XAUUSD,Post-News,FVG Entry,4.78,Loss,-100.0,Hesitant,,Auto note 181
2024-06-30,22:44,USDJPY,Post-News,Liquidity Grab,4.19,BE,0.0,Confident,,Auto note 182
2024-07-01,07:08,NAS100,Asian,Breakout,2.8,Loss,-100.0,Focused,,Auto note 183
2024-07-02,00:39,USDJPY,Asian,Liquidity Grab,2.11,BE,0.0,Focused,,Auto note 184
2024-07-03,15:21,SPX500,Asian,Liquidity Grab,3.09,BE,0.0,Confident,,Auto note 185
2024-07-04,13:44,SPX500,New York,Breakout,1.17,Loss,-100.0,Confident,,Auto note 186
2024-07-05,17:39,BTCUSD,Post-News,Reversal,3.22,Loss,-100.0,Hesitant,,Auto note 187
2024-07-06,05:36,XAUUSD,Post-News,FVG Entry,4.56,Loss,-100.0,Hesitant,,Auto note 188
2024-07-07,03:17,SPX500,Asian,Breakout,3.11,Loss,-100.0,Hesitant,,Auto note 189
2024-07-08,20:49,SPX500,London,Reversal,3.77,BE,0.0,Focused,,Auto note 190
2024-07-09,13:45,SPX500,Post-News,FVG Entry,2.43,Win,243.0,Hesitant,,Auto note 191
2024-07-10,06:53,XAUUSD,Asian,Liquidity Grab,3.8,Win,380.0,Emotional,,Auto note 192
2024-07-11,13:30,NAS100,London,Breakout,2.39,Loss,-100.0,Confident,,Auto note 193
2024-07-12,19:36,USDJPY,Post-News,Reversal,1.76,Loss,-100.0,Focused,,Auto note 194
2024-07-13,05:33,GBPUSD,London,Breakout,0.8,Win,80.0,Focused,,Auto note 195
2024-07-14,09:55,USDJPY,London,Liquidity Grab,1.24,BE,0.0,Confident,,Auto note 196
2024-07-15,13:25,XAUUSD,New York,FVG Entry,3.75,BE,0.0,Emotional,,Auto note 197
2024-07-16,09:36,USDJPY,Non-Killzone,Liquidity Grab,0.62,Win,62.0,Focused,,Auto note 198
2024-07-17,02:44,SPX500,Asian,Liquidity Grab,3.04,Loss,-100.0,Focused,,Auto note 199
2024-07-18,20:20,EURUSD,Asian,Breakout,0.51,Loss,-100.0,Hesitant,,Auto note 200
